group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,zh,/tld/autos,.autos,2705,1022,1491,45,37,0.178,3,3,0.367,0.282,/tld/homes,0.297,0.328,0.432,
tld,en,/tld/baby,.baby,2277,603,3257,48,38,0.208,3,3,0.206,0.125,/tld/green,0.251,0.289,0.395,
tld,zh,/tld/baby,.baby,2679,998,1375,47,38,0.191,3,3,0.256,0.187,/tld/green,0.31,0.364,0.421,
tld,en,/tld/band,.band,2219,549,2863,44,36,0.182,3,3,0.204,0.124,/tld/tech,0.268,0.318,0.417,
tld,zh,/tld/band,.band,2585,908,1342,43,36,0.163,3,3,0.221,0.16,/tld/international,0.321,0.354,0.444,
tld,en,/tld/bar,.bar,2292,609,3074,46,37,0.196,3,3,0.166,0.108,/tld/space,0.241,0.252,0.405,
tld,zh,/tld/bar,.bar,2655,960,1406,45,37,0.178,3,3,0.202,0.16,/tld/wtf,0.284,0.308,0.432,
tld,en,/tld/bargains,.bargains,2241,571,3236,48,38,0.208,3,3,0.187,0.114,/tld/camera,0.253,0.282,0.395,
tld,zh,/tld/bargains,.bargains,2573,894,1493,47,38,0.191,3,3,0.245,0.169,/tld/camera,0.332,0.382,0.421,
tld,en,/tld/basketball,.basketball,2281,611,3379,48,39,0.188,3,3,0.352,0.246,/tld/cricket,0.249,0.301,0.385,
tld,zh,/tld/basketball,.basketball,2680,1002,1650,43,36,0.163,3,3,0.4,0.322,/tld/rugby,0.303,0.345,0.444,
tld,en,/tld/be,.be,2325,657,3473,45,36,0.2,3,3,0.241,0.191,/tld/cz,0.187,0.251,0.278,
tld,zh,/tld/be,.be,2742,1068,1484,48,38,0.208,3,3,0.38,0.279,/tld/at,0.27,0.404,0.395,
tld,en,/tld/beauty,.beauty,2258,583,3132,48,38,0.208,3,3,0.191,0.114,/tld/games,0.257,0.296,0.395,
tld,zh,/tld/beauty,.beauty,2668,982,1374,45,37,0.178,3,3,0.245,0.187,/tld/fashion,0.32,0.37,0.432,
tld,en,/tld/beer,.beer,2272,603,3183,46,37,0.196,3,3,0.214,0.132,/tld/tattoo,0.257,0.301,0.405,
tld,zh,/tld/beer,.beer,2644,966,1429,45,37,0.178,3,3,0.278,0.192,/tld/tattoo,0.304,0.365,0.432,
tld,en,/tld/berlin,.berlin,2380,709,3808,49,39,0.204,3,3,0.443,0.245,/tld/boston,0.222,0.274,0.359,
tld,zh,/tld/berlin,.berlin,2803,1126,1636,44,36,0.182,3,3,0.429,0.298,/tld/boston,0.281,0.337,0.417,
tld,en,/tld/best,.best,2221,556,3051,46,36,0.217,3,3,0.159,0.107,/tld/us,0.253,0.253,0.333,
tld,zh,/tld/best,.best,2635,964,1309,43,35,0.186,3,3,0.217,0.144,/tld/lol,0.298,0.318,0.4,
tld,en,/tld/bet,.bet,2278,601,3211,48,39,0.188,3,3,0.179,0.115,/tld/poker,0.249,0.286,0.385,
tld,zh,/tld/bet,.bet,2650,964,1378,45,37,0.178,3,3,0.245,0.174,/tld/poker,0.324,0.372,0.432,
tld,en,/tld/bike,.bike,2227,559,2804,45,36,0.2,3,3,0.199,0.129,/tld/shoes,0.263,0.303,0.389,
tld,zh,/tld/bike,.bike,2560,886,1321,42,35,0.167,3,3,0.281,0.195,/tld/shoes,0.343,0.394,0.429,
tld,en,/tld/bio,.bio,2198,527,2791,45,36,0.2,3,3,0.178,0.113,/tld/art,0.275,0.281,0.389,
tld,zh,/tld/bio,.bio,2551,874,1350,40,34,0.15,3,3,0.206,0.149,/tld/photography,0.319,0.325,0.441,
tld,en,/tld/biz,.biz,2323,647,3362,50,39,0.22,3,3,0.177,0.107,/tld/loans,0.232,0.264,0.385,
tld,zh,/tld/biz,.biz,2747,1060,1538,47,38,0.191,3,3,0.24,0.162,/tld/ltd,0.284,0.308,0.421,
tld,en,/tld/black,.black,2213,545,3001,47,37,0.213,3,3,0.189,0.113,/tld/blue,0.268,0.299,0.378,
tld,zh,/tld/black,.black,2620,946,1369,44,36,0.182,3,3,0.231,0.16,/tld/marketing,0.321,0.361,0.417,
tld,en,/tld/blog,.blog,2175,493,2725,42,35,0.167,3,3,0.19,0.124,/tld/space,0.287,0.307,0.429,
tld,zh,/tld/blog,.blog,2506,816,1387,43,36,0.163,3,3,0.205,0.146,/tld/app,0.294,0.313,0.444,
tld,en,/tld/blue,.blue,2253,583,3102,46,37,0.196,3,3,0.189,0.118,/tld/black,0.252,0.299,0.405,
tld,zh,/tld/blue,.blue,2699,1020,1461,45,37,0.178,3,3,0.233,0.16,/tld/pink,0.293,0.341,0.432,
tld,en,/tld/boats,.boats,2265,589,3239,50,40,0.2,3,3,0.255,0.203,/tld/homes,0.249,0.28,0.375,
tld,zh,/tld/boats,.boats,2696,1008,1413,45,37,0.178,3,3,0.345,0.279,/tld/homes,0.307,0.339,0.432,
tld,en,/tld/bond,.bond,2311,643,3616,49,39,0.204,3,3,0.276,0.152,/tld/buzz,0.237,0.281,0.359,
tld,zh,/tld/bond,.bond,2748,1074,1625,44,36,0.182,3,3,0.302,0.193,/tld/buzz,0.295,0.349,0.417,
tld,en,/tld/boston,.boston,2323,655,3592,45,37,0.178,3,3,0.443,0.259,/tld/berlin,0.236,0.29,0.378,
tld,zh,/tld/boston,.boston,2734,1060,1560,42,35,0.167,3,3,0.429,0.311,/tld/berlin,0.293,0.355,0.429,
tld,en,/tld/boutique,.boutique,2235,551,3065,50,39,0.22,3,3,0.198,0.14,/tld/garden,0.268,0.293,0.385,
tld,zh,/tld/boutique,.boutique,2596,900,1391,45,37,0.178,3,3,0.25,0.182,/tld/garden,0.323,0.369,0.432,
tld,en,/tld/br,.br,2370,699,3879,47,37,0.213,3,3,0.178,0.165,/tld/vn,0.187,0.227,0.324,
tld,zh,/tld/br,.br,2823,1146,1604,48,38,0.208,3,3,0.294,0.22,/tld/no,0.242,0.354,0.395,
