group,lang,pathA,pathB,jaccardMasked,jaccardRaw
guide,en,/guide/gilding,/guide/lacquerware,0.08,0.069
guide,en,/guide/batik,/guide/brocade,0.08,0.068
guide,en,/guide/nutcarving,/guide/pyrography,0.079,0.068
guide,en,/guide/batik,/guide/lacquerware,0.079,0.068
guide,en,/guide/fanmaking,/guide/jadecarving,0.078,0.067
guide,en,/guide/bambooweaving,/guide/jadecarving,0.078,0.066
guide,en,/guide/nutcarving,/guide/strawpainting,0.078,0.066
guide,en,/guide/brocade,/guide/jadecarving,0.077,0.065
guide,en,/guide/strawpainting,/guide/woodblockprint,0.077,0.075
guide,en,/guide/doughsculpture,/guide/woodblockprint,0.076,0.073
guide,en,/guide/eggcarving,/guide/nutcarving,0.075,0.077
guide,en,/guide/mosaic,/guide/stainedglass,0.075,0.063
guide,en,/guide/brocade,/guide/swordsmith,0.075,0.072
guide,en,/guide/claysculpture,/guide/pyrography,0.075,0.064
guide,en,/guide/doughsculpture,/guide/nutcarving,0.075,0.063
vs,zh,/vs/id-vs-sg,/vs/ph-vs-sg,0.427,0.366
vs,zh,/vs/de-vs-com,/vs/uk-vs-com,0.416,0.349
vs,zh,/vs/de-vs-com,/vs/fr-vs-com,0.407,0.345
vs,zh,/vs/menu-vs-cafe,/vs/menu-vs-restaurant,0.404,0.355
vs,zh,/vs/golf-vs-travel,/vs/surf-vs-travel,0.393,0.356
vs,zh,/vs/fr-vs-com,/vs/uk-vs-com,0.377,0.323
vs,zh,/vs/shoes-vs-fashion,/vs/shoes-vs-store,0.372,0.337
vs,zh,/vs/ee-vs-fi,/vs/lt-vs-ee,0.371,0.34
vs,zh,/vs/il-vs-com,/vs/ng-vs-com,0.368,0.304
vs,zh,/vs/kaufen-vs-shop,/vs/tienda-vs-shop,0.364,0.314
vs,zh,/vs/es-vs-eu,/vs/pl-vs-eu,0.358,0.311
vs,zh,/vs/kids-vs-baby,/vs/kids-vs-family,0.356,0.332
vs,zh,/vs/gr-vs-tr,/vs/tr-vs-ae,0.343,0.305
vs,zh,/vs/cz-vs-pl,/vs/ro-vs-pl,0.328,0.283
vs,zh,/vs/ro-vs-pl,/vs/ua-vs-pl,0.324,0.299
vs,zh,/vs/ke-vs-ng,/vs/za-vs-ng,0.32,0.291
vs,zh,/vs/at-vs-de,/vs/ch-vs-de,0.317,0.266
vs,zh,/vs/ar-vs-cl,/vs/cl-vs-mx,0.312,0.277
vs,zh,/vs/golf-vs-club,/vs/tennis-vs-club,0.311,0.264
vs,zh,/vs/football-vs-team,/vs/hockey-vs-team,0.31,0.267
vs,zh,/vs/hu-vs-cz,/vs/sk-vs-cz,0.308,0.264
vs,zh,/vs/br-vs-mx,/vs/br-vs-pt,0.306,0.281
vs,zh,/vs/dk-vs-se,/vs/fi-vs-se,0.301,0.261
vs,zh,/vs/com-vs-io,/vs/io-vs-tech,0.299,0.245
vs,zh,/vs/quest-vs-fun,/vs/quest-vs-games,0.299,0.28
vs,zh,/vs/academy-vs-coach,/vs/fitness-vs-coach,0.298,0.275
vs,zh,/vs/day-vs-life,/vs/day-vs-today,0.297,0.272
vs,zh,/vs/be-vs-nl,/vs/nl-vs-de,0.293,0.268
vs,zh,/vs/au-vs-com,/vs/uk-vs-com,0.293,0.253
vs,zh,/vs/care-vs-doctor,/vs/clinic-vs-care,0.292,0.26
vs,en,/vs/golf-vs-travel,/vs/surf-vs-travel,0.34,0.262
vs,en,/vs/shoes-vs-fashion,/vs/shoes-vs-store,0.317,0.282
vs,en,/vs/id-vs-sg,/vs/ph-vs-sg,0.307,0.289
vs,en,/vs/golf-vs-club,/vs/tennis-vs-club,0.306,0.218
vs,en,/vs/quest-vs-fun,/vs/quest-vs-games,0.302,0.279
vs,en,/vs/fr-vs-com,/vs/uk-vs-com,0.298,0.256
vs,en,/vs/kids-vs-baby,/vs/kids-vs-family,0.297,0.266
vs,en,/vs/menu-vs-cafe,/vs/menu-vs-restaurant,0.286,0.287
vs,en,/vs/kaufen-vs-shop,/vs/tienda-vs-shop,0.274,0.243
vs,en,/vs/cz-vs-pl,/vs/ro-vs-pl,0.266,0.285
vs,en,/vs/ke-vs-ng,/vs/za-vs-ng,0.256,0.243
vs,en,/vs/de-vs-com,/vs/fr-vs-com,0.253,0.284
vs,en,/vs/de-vs-com,/vs/uk-vs-com,0.249,0.281
vs,en,/vs/gr-vs-tr,/vs/tr-vs-ae,0.247,0.226
vs,en,/vs/ee-vs-fi,/vs/lt-vs-ee,0.245,0.251
vs,en,/vs/hu-vs-cz,/vs/sk-vs-cz,0.243,0.217
vs,en,/vs/co-vs-me,/vs/pink-vs-me,0.242,0.256
vs,en,/vs/toys-vs-games,/vs/toys-vs-shop,0.237,0.227
vs,en,/vs/football-vs-team,/vs/hockey-vs-team,0.237,0.194
vs,en,/vs/cz-vs-pl,/vs/ua-vs-pl,0.234,0.229
