group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,zh,/tld/baby,.baby,852,670,924,36,36,0,3,3,0.273,0.194,/tld/green,0.328,0.382,0.472,
tld,en,/tld/band,.band,536,383,1973,35,35,0,3,3,0.205,0.127,/tld/care,0.287,0.333,0.457,
tld,zh,/tld/band,.band,799,633,921,35,35,0,3,3,0.228,0.165,/tld/international,0.334,0.37,0.486,
tld,en,/tld/bar,.bar,588,410,2048,36,36,0,3,3,0.178,0.114,/tld/art,0.259,0.269,0.444,
tld,zh,/tld/bar,.bar,851,655,948,36,36,0,3,3,0.212,0.166,/tld/cool,0.297,0.319,0.472,
tld,en,/tld/bargains,.bargains,560,395,2229,37,37,0,3,3,0.195,0.118,/tld/camera,0.271,0.299,0.432,
tld,zh,/tld/bargains,.bargains,804,624,1019,37,37,0,3,3,0.253,0.174,/tld/clothing,0.346,0.393,0.459,
tld,en,/tld/basketball,.basketball,590,425,2337,37,37,0,3,3,0.37,0.234,/tld/cricket,0.265,0.311,0.432,
tld,zh,/tld/basketball,.basketball,852,673,1101,34,34,0,3,3,0.408,0.32,/tld/rugby,0.322,0.363,0.5,
tld,en,/tld/be,.be,608,445,2352,35,35,0,3,3,0.249,0.198,/tld/pt,0.205,0.266,0.314,
tld,zh,/tld/be,.be,912,737,999,37,37,0,3,3,0.396,0.292,/tld/at,0.276,0.41,0.432,
tld,en,/tld/beauty,.beauty,557,399,2130,37,37,0,3,3,0.2,0.119,/tld/energy,0.278,0.314,0.432,
tld,zh,/tld/beauty,.beauty,837,662,938,36,36,0,3,3,0.255,0.194,/tld/fashion,0.336,0.387,0.472,
tld,en,/tld/beer,.beer,584,420,2184,36,36,0,3,3,0.238,0.136,/tld/tattoo,0.277,0.331,0.444,
tld,zh,/tld/beer,.beer,849,670,967,36,36,0,3,3,0.292,0.195,/tld/tattoo,0.317,0.379,0.472,
tld,en,/tld/berlin,.berlin,634,468,2502,37,37,0,3,3,0.452,0.243,/tld/boston,0.244,0.291,0.405,
tld,zh,/tld/berlin,.berlin,916,738,1070,34,34,0,3,3,0.434,0.301,/tld/boston,0.299,0.351,0.471,
tld,en,/tld/best,.best,504,380,2040,35,35,0,3,3,0.172,0.112,/tld/us,0.271,0.271,0.371,
tld,zh,/tld/best,.best,780,644,893,34,34,0,3,3,0.228,0.15,/tld/lol,0.31,0.334,0.441,
tld,en,/tld/bet,.bet,587,415,2187,37,37,0,3,3,0.192,0.119,/tld/poker,0.266,0.304,0.432,
tld,zh,/tld/bet,.bet,837,650,909,35,35,0,3,3,0.257,0.178,/tld/dating,0.344,0.389,0.486,
tld,en,/tld/bike,.bike,549,386,1928,35,35,0,3,3,0.209,0.132,/tld/shoes,0.279,0.316,0.429,
tld,zh,/tld/bike,.bike,783,608,901,34,34,0,3,3,0.289,0.198,/tld/shoes,0.357,0.409,0.471,
tld,en,/tld/bio,.bio,526,372,1934,35,35,0,3,3,0.188,0.119,/tld/us,0.294,0.297,0.429,
tld,zh,/tld/bio,.bio,774,608,935,33,33,0,3,3,0.21,0.155,/tld/chat,0.327,0.332,0.485,
tld,en,/tld/biz,.biz,610,439,2265,38,38,0,3,3,0.185,0.112,/tld/ltd,0.249,0.28,0.421,
tld,zh,/tld/biz,.biz,888,700,1001,36,36,0,3,3,0.255,0.17,/tld/ltd,0.303,0.332,0.472,
tld,en,/tld/black,.black,536,373,2037,36,36,0,3,3,0.194,0.118,/tld/blue,0.285,0.311,0.417,
tld,zh,/tld/black,.black,819,644,928,35,35,0,3,3,0.233,0.164,/tld/marketing,0.331,0.366,0.457,
tld,en,/tld/blog,.blog,518,353,1894,34,34,0,3,3,0.202,0.13,/tld/art,0.305,0.321,0.471,
tld,zh,/tld/blog,.blog,751,572,937,35,35,0,3,3,0.218,0.151,/tld/design,0.308,0.325,0.486,
tld,en,/tld/blue,.blue,562,397,2088,36,36,0,3,3,0.194,0.123,/tld/black,0.27,0.314,0.444,
tld,zh,/tld/blue,.blue,865,685,979,36,36,0,3,3,0.234,0.164,/tld/international,0.305,0.354,0.472,
tld,en,/tld/boats,.boats,583,412,2214,38,38,0,3,3,0.275,0.206,/tld/homes,0.27,0.305,0.421,
tld,zh,/tld/boats,.boats,865,676,949,35,35,0,3,3,0.368,0.29,/tld/homes,0.326,0.361,0.486,
tld,en,/tld/bond,.bond,576,441,2460,37,37,0,3,3,0.289,0.16,/tld/buzz,0.257,0.296,0.405,
tld,zh,/tld/bond,.bond,862,715,1059,34,34,0,3,3,0.314,0.199,/tld/buzz,0.313,0.363,0.471,
tld,en,/tld/boston,.boston,536,441,2423,35,35,0,3,3,0.452,0.269,/tld/berlin,0.258,0.307,0.429,
tld,zh,/tld/boston,.boston,814,707,1034,33,33,0,3,3,0.442,0.32,/tld/miami,0.313,0.37,0.485,
tld,en,/tld/boutique,.boutique,565,386,2129,38,38,0,3,3,0.211,0.147,/tld/garden,0.279,0.299,0.421,
tld,zh,/tld/boutique,.boutique,825,628,966,36,36,0,3,3,0.26,0.187,/tld/garden,0.332,0.375,0.472,
tld,en,/tld/br,.br,634,468,2569,36,36,0,3,3,0.192,0.16,/tld/vn,0.203,0.242,0.361,
tld,zh,/tld/br,.br,948,770,1063,37,37,0,3,3,0.294,0.227,/tld/mx,0.25,0.363,0.432,
tld,en,/tld/builders,.builders,559,394,2243,38,38,0,3,3,0.234,0.137,/tld/engineering,0.273,0.318,0.421,
tld,zh,/tld/builders,.builders,849,670,1019,36,36,0,3,3,0.285,0.187,/tld/construction,0.336,0.383,0.472,
tld,en,/tld/business,.business,575,410,2166,38,38,0,3,3,0.19,0.124,/tld/agency,0.271,0.293,0.421,
tld,zh,/tld/business,.business,837,658,1020,36,36,0,3,3,0.238,0.167,/tld/ltd,0.326,0.36,0.472,
tld,en,/tld/buzz,.buzz,604,453,2404,38,38,0,3,3,0.289,0.16,/tld/bond,0.25,0.288,0.395,
tld,zh,/tld/buzz,.buzz,892,729,1049,34,34,0,3,3,0.314,0.199,/tld/bond,0.296,0.341,0.471,
tld,en,/tld/ca,.ca,565,402,2253,35,35,0,3,3,0.195,0.13,/tld/au,0.242,0.276,0.4,
tld,zh,/tld/ca,.ca,896,721,966,35,35,0,3,3,0.282,0.199,/tld/au,0.263,0.342,0.457,
tld,en,/tld/cafe,.cafe,597,410,2032,34,34,0,3,3,0.189,0.119,/tld/art,0.272,0.302,0.471,
tld,zh,/tld/cafe,.cafe,836,633,952,35,35,0,3,3,0.247,0.167,/tld/pizza,0.335,0.371,0.486,
tld,en,/tld/camera,.camera,535,384,2109,37,37,0,3,3,0.219,0.125,/tld/diamonds,0.289,0.324,0.405,
tld,zh,/tld/camera,.camera,806,643,1030,36,36,0,3,3,0.26,0.171,/tld/clothing,0.34,0.381,0.444,
tld,en,/tld/camp,.camp,557,394,2099,36,36,0,3,3,0.228,0.126,/tld/villas,0.274,0.299,0.417,
tld,zh,/tld/camp,.camp,834,659,1001,36,36,0,3,3,0.244,0.159,/tld/villas,0.318,0.343,0.444,
tld,en,/tld/capital,.capital,527,389,2047,36,36,0,3,3,0.251,0.145,/tld/partners,0.284,0.316,0.417,
tld,zh,/tld/capital,.capital,801,651,1001,35,35,0,3,3,0.295,0.208,/tld/partners,0.337,0.375,0.457,
tld,en,/tld/care,.care,544,362,1996,37,37,0,3,3,0.228,0.131,/tld/clinic,0.296,0.338,0.432,
tld,zh,/tld/care,.care,834,635,911,37,37,0,3,3,0.259,0.181,/tld/clinic,0.32,0.364,0.459,
tld,en,/tld/careers,.careers,575,410,2278,37,37,0,3,3,0.209,0.116,/tld/lighting,0.273,0.309,0.432,
tld,zh,/tld/careers,.careers,843,662,1011,34,34,0,3,3,0.281,0.205,/tld/contractors,0.34,0.388,0.5,
tld,en,/tld/casa,.casa,603,466,2527,37,37,0,3,3,0.206,0.124,/tld/vodka,0.242,0.281,0.432,
tld,zh,/tld/casa,.casa,875,724,1075,35,35,0,3,3,0.279,0.183,/tld/moda,0.299,0.353,0.486,
tld,en,/tld/cash,.cash,500,365,1964,34,34,0,3,3,0.196,0.123,/tld/ventures,0.293,0.32,0.441,
tld,zh,/tld/cash,.cash,748,601,881,35,35,0,3,3,0.228,0.165,/tld/apartments,0.345,0.364,0.457,
tld,en,/tld/casino,.casino,596,427,2350,37,37,0,3,3,0.218,0.131,/tld/tattoo,0.265,0.306,0.432,
tld,zh,/tld/casino,.casino,859,675,1009,35,35,0,3,3,0.313,0.203,/tld/clothing,0.337,0.409,0.486,
tld,en,/tld/catering,.catering,566,403,2229,35,35,0,3,3,0.21,0.126,/tld/review,0.273,0.287,0.429,
tld,zh,/tld/catering,.catering,804,629,994,33,33,0,3,3,0.301,0.23,/tld/cleaning,0.347,0.387,0.485,
tld,en,/tld/cc,.cc,440,339,1697,32,32,0,3,3,0.196,0.125,/tld/us,0.319,0.319,0.469,
tld,zh,/tld/cc,.cc,676,563,741,33,33,0,3,3,0.232,0.163,/tld/vip,0.346,0.348,0.485,
tld,en,/tld/center,.center,520,348,2033,33,33,0,3,3,0.21,0.142,/tld/zone,0.304,0.32,0.485,
tld,zh,/tld/center,.center,786,596,902,35,35,0,3,3,0.229,0.162,/tld/group,0.325,0.338,0.486,
tld,en,/tld/ch,.ch,602,439,2442,36,36,0,3,3,0.329,0.223,/tld/pt,0.23,0.301,0.389,
tld,zh,/tld/ch,.ch,921,746,982,37,37,0,3,3,0.392,0.289,/tld/nz,0.267,0.424,0.432,
tld,en,/tld/chat,.chat,510,359,1929,35,35,0,3,3,0.193,0.121,/tld/club,0.301,0.307,0.429,
tld,zh,/tld/chat,.chat,728,565,871,35,35,0,3,3,0.226,0.162,/tld/jewelry,0.354,0.371,0.457,
tld,en,/tld/cheap,.cheap,571,404,2178,37,37,0,3,3,0.195,0.12,/tld/diamonds,0.266,0.293,0.432,
tld,zh,/tld/cheap,.cheap,832,647,996,37,37,0,3,3,0.242,0.162,/tld/cruises,0.317,0.362,0.459,
tld,en,/tld/church,.church,575,412,2265,35,35,0,3,3,0.206,0.111,/tld/degree,0.273,0.303,0.429,
tld,zh,/tld/church,.church,852,677,993,34,34,0,3,3,0.249,0.158,/tld/florist,0.325,0.353,0.471,
tld,en,/tld/city,.city,566,382,2051,37,37,0,3,3,0.193,0.123,/tld/space,0.288,0.306,0.432,
tld,zh,/tld/city,.city,852,652,902,37,37,0,3,3,0.227,0.174,/tld/properties,0.317,0.352,0.459,
tld,en,/tld/cl,.cl,616,447,2439,37,37,0,3,3,0.293,0.215,/tld/vn,0.237,0.311,0.405,
tld,zh,/tld/cl,.cl,941,760,977,37,37,0,3,3,0.439,0.321,/tld/ar,0.268,0.447,0.432,
tld,en,/tld/cleaning,.cleaning,574,411,2337,35,35,0,3,3,0.203,0.111,/tld/catering,0.266,0.272,0.429,
tld,zh,/tld/cleaning,.cleaning,838,663,1060,32,32,0,3,3,0.301,0.23,/tld/catering,0.32,0.351,0.5,
tld,en,/tld/click,.click,485,358,1904,34,34,0,3,3,0.194,0.117,/tld/us,0.296,0.307,0.441,
tld,zh,/tld/click,.click,716,577,898,33,33,0,3,3,0.229,0.173,/tld/fashion,0.343,0.355,0.485,
tld,en,/tld/clinic,.clinic,562,387,2143,38,38,0,3,3,0.228,0.133,/tld/care,0.282,0.319,0.421,
tld,zh,/tld/clinic,.clinic,863,670,1004,37,37,0,3,3,0.259,0.181,/tld/care,0.319,0.364,0.459,
