path,lang,bodyWords,proseWords,linkShare
/vs/cc-vs-com,zh,999,785,0.2142
/vs/cc-vs-tv,en,797,645,0.1907
/vs/cc-vs-tv,zh,1204,1002,0.1678
/vs/center-vs-club,en,821,654,0.2034
/vs/center-vs-club,zh,1233,1012,0.1792
/vs/ch-vs-de,en,781,623,0.2023
/vs/ch-vs-de,zh,1186,982,0.1720
/vs/chat-vs-app,en,895,730,0.1844
/vs/chat-vs-app,zh,1322,1107,0.1626
/vs/cheap-vs-discount,en,741,589,0.2051
/vs/cheap-vs-discount,zh,1125,921,0.1813
/vs/church-vs-community,en,731,581,0.2052
/vs/church-vs-community,zh,1142,946,0.1716
/vs/city-vs-world,en,823,652,0.2078
/vs/city-vs-world,zh,1257,1036,0.1758
/vs/cl-vs-mx,en,781,626,0.1985
/vs/cl-vs-mx,zh,1249,1048,0.1609
/vs/cleaning-vs-services,en,744,586,0.2124
/vs/cleaning-vs-services,zh,1173,966,0.1765
/vs/click-vs-link,en,594,465,0.2172
/vs/click-vs-link,zh,916,740,0.1921
/vs/clinic-vs-care,en,675,506,0.2504
/vs/clinic-vs-care,zh,1042,822,0.2111
/vs/clothing-vs-fashion,en,689,551,0.2003
/vs/clothing-vs-fashion,zh,1079,892,0.1733
/vs/cloud-vs-online,en,728,564,0.2253
/vs/cloud-vs-online,zh,1112,900,0.1906
/vs/cloud-vs-tech,en,704,541,0.2315
/vs/cloud-vs-tech,zh,1077,865,0.1968
/vs/club-vs-gg,en,722,555,0.2313
/vs/club-vs-gg,zh,1119,898,0.1975
/vs/cn-vs-top,en,845,679,0.1964
/vs/cn-vs-top,zh,1325,1106,0.1653
/vs/co-vs-me,en,733,586,0.2005
/vs/co-vs-me,zh,1131,931,0.1768
/vs/coach-vs-expert,en,858,690,0.1958
/vs/coach-vs-expert,zh,1374,1151,0.1623
/vs/codes-vs-dev,en,813,649,0.2017
/vs/codes-vs-dev,zh,1358,1141,0.1598
/vs/coffee-vs-cafe,en,695,529,0.2388
/vs/coffee-vs-cafe,zh,1039,825,0.2060
/vs/college-vs-academy,en,770,609,0.2091
/vs/college-vs-academy,zh,1245,1035,0.1687
/vs/com-vs-ai,en,767,601,0.2164
/vs/com-vs-ai,zh,1134,916,0.1922
/vs/com-vs-app,en,762,596,0.2178
/vs/com-vs-app,zh,1135,917,0.1921
/vs/com-vs-cn,en,735,567,0.2286
/vs/com-vs-cn,zh,1150,929,0.1922
/vs/com-vs-co,en,789,641,0.1876
/vs/com-vs-co,zh,1238,1038,0.1616
/vs/com-vs-dev,en,729,563,0.2277
/vs/com-vs-dev,zh,1098,880,0.1985
/vs/com-vs-io,en,729,563,0.2277
/vs/com-vs-io,zh,1106,888,0.1971
/vs/com-vs-me,en,709,561,0.2087
/vs/com-vs-me,zh,1107,909,0.1789
/vs/com-vs-net,en,700,551,0.2129
/vs/com-vs-net,zh,1056,857,0.1884
/vs/com-vs-org,en,795,647,0.1862
/vs/com-vs-org,zh,1181,981,0.1693
/vs/com-vs-top,en,650,503,0.2262
/vs/com-vs-top,zh,1053,857,0.1861
/vs/com-vs-travel,en,910,743,0.1835
/vs/com-vs-travel,zh,1429,1212,0.1519
/vs/com-vs-xyz,en,684,535,0.2178
/vs/com-vs-xyz,zh,1076,877,0.1849
/vs/community-vs-club,en,679,512,0.2459
/vs/community-vs-club,zh,1069,848,0.2067
/vs/company-vs-group,en,673,514,0.2363
/vs/company-vs-group,zh,1052,847,0.1949
/vs/computer-vs-tech,en,688,525,0.2369
/vs/computer-vs-tech,zh,1082,870,0.1959
/vs/condos-vs-apartments,en,764,638,0.1649
/vs/condos-vs-apartments,zh,1224,1052,0.1405
/vs/consulting-vs-expert,en,665,504,0.2421
/vs/consulting-vs-expert,zh,1029,820,0.2031
/vs/contractors-vs-construction,en,752,601,0.2008
/vs/contractors-vs-construction,zh,1199,992,0.1726
/vs/cooking-vs-recipes,en,728,581,0.2019
/vs/cooking-vs-recipes,zh,1123,930,0.1719
/vs/cool-vs-fun,en,853,685,0.1970
/vs/cool-vs-fun,zh,1283,1062,0.1723
/vs/courses-vs-academy,en,734,567,0.2275
/vs/courses-vs-academy,zh,1186,970,0.1821
/vs/credit-vs-finance,en,630,497,0.2111
/vs/credit-vs-finance,zh,1005,828,0.1761
/vs/cricket-vs-club,en,768,601,0.2174
/vs/cricket-vs-club,zh,1208,987,0.1829
/vs/cruises-vs-travel,en,764,597,0.2186
/vs/cruises-vs-travel,zh,1199,979,0.1835
/vs/cyou-vs-fun,en,831,665,0.1998
/vs/cyou-vs-fun,zh,1284,1066,0.1698
/vs/cz-vs-pl,en,780,621,0.2038
/vs/cz-vs-pl,zh,1172,965,0.1766
/vs/dad-vs-blog,en,699,543,0.2232
/vs/dad-vs-blog,zh,1037,835,0.1948
/vs/dance-vs-studio,en,712,546,0.2331
/vs/dance-vs-studio,zh,1112,894,0.1960
/vs/dating-vs-love,en,786,630,0.1985
/vs/dating-vs-love,zh,1194,991,0.1700
/vs/day-vs-life,en,819,656,0.1990
/vs/day-vs-life,zh,1259,1046,0.1692
/vs/day-vs-today,en,748,621,0.1698
/vs/day-vs-today,zh,1153,982,0.1483
/vs/de-vs-com,en,689,524,0.2395
/vs/de-vs-com,zh,1079,865,0.1983
/vs/de-vs-eu,en,789,629,0.2028
/vs/de-vs-eu,zh,1206,1002,0.1692
/vs/deals-vs-coupons,en,778,630,0.1902
/vs/deals-vs-coupons,zh,1200,1006,0.1617
/vs/degree-vs-education,en,725,574,0.2083
/vs/degree-vs-education,zh,1147,951,0.1709
/vs/delivery-vs-express,en,740,587,0.2068
/vs/delivery-vs-express,zh,1128,926,0.1791
/vs/dental-vs-doctor,en,647,499,0.2287
/vs/dental-vs-doctor,zh,1023,831,0.1877
/vs/dentist-vs-dental,en,719,573,0.2031
/vs/dentist-vs-dental,zh,1145,952,0.1686
/vs/dev-vs-tech,en,822,658,0.1995
/vs/dev-vs-tech,zh,1251,1034,0.1735
/vs/diamonds-vs-jewelry,en,726,581,0.1997
/vs/diamonds-vs-jewelry,zh,1135,946,0.1665
/vs/digital-vs-tech,en,818,655,0.1993
/vs/digital-vs-tech,zh,1253,1041,0.1692
/vs/discount-vs-sale,en,764,613,0.1976
/vs/discount-vs-sale,zh,1186,989,0.1661
/vs/dk-vs-se,en,789,636,0.1939
/vs/dk-vs-se,zh,1223,1022,0.1643
/vs/dog-vs-pet,en,675,516,0.2356
/vs/dog-vs-pet,zh,1012,801,0.2085
/vs/domains-vs-tools,en,760,618,0.1868
/vs/domains-vs-tools,zh,1201,1015,0.1549
/vs/earth-vs-world,en,681,519,0.2379
/vs/earth-vs-world,zh,1026,810,0.2105
/vs/eco-vs-earth,en,697,545,0.2181
/vs/eco-vs-earth,zh,1094,891,0.1856
/vs/education-vs-academy,en,709,539,0.2398
/vs/education-vs-academy,zh,1098,878,0.2004
/vs/ee-vs-fi,en,740,587,0.2068
/vs/ee-vs-fi,zh,1140,939,0.1763
/vs/eg-vs-sa,en,718,568,0.2089
/vs/eg-vs-sa,zh,1081,883,0.1832
/vs/email-vs-cloud,en,782,628,0.1969
/vs/email-vs-cloud,zh,1235,1037,0.1603
/vs/email-vs-net,en,864,708,0.1806
/vs/email-vs-net,zh,1347,1146,0.1492
/vs/energy-vs-solar,en,688,536,0.2209
/vs/energy-vs-solar,zh,1049,846,0.1935
/vs/engineer-vs-engineering,en,729,579,0.2058
/vs/engineer-vs-engineering,zh,1150,953,0.1713
/vs/engineering-vs-dev,en,705,538,0.2369
/vs/engineering-vs-dev,zh,1055,834,0.2095
/vs/engineering-vs-tech,en,693,525,0.2424
/vs/engineering-vs-tech,zh,1047,827,0.2101
/vs/equipment-vs-rentals,en,785,623,0.2064
/vs/equipment-vs-rentals,zh,1240,1022,0.1758
/vs/es-vs-eu,en,785,633,0.1936
/vs/es-vs-eu,zh,1227,1029,0.1614
/vs/estate-vs-land,en,605,466,0.2298
/vs/estate-vs-land,zh,961,773,0.1956
/vs/events-vs-live,en,678,511,0.2463
/vs/events-vs-live,zh,1062,843,0.2062
/vs/expert-vs-pro,en,901,735,0.1842
/vs/expert-vs-pro,zh,1359,1139,0.1619
/vs/express-vs-store,en,687,518,0.2460
/vs/express-vs-store,zh,1012,790,0.2194
/vs/family-vs-com,en,914,747,0.1827
/vs/family-vs-com,zh,1437,1218,0.1524
/vs/family-vs-life,en,729,561,0.2305
/vs/family-vs-life,zh,1128,908,0.1950
/vs/fan-vs-club,en,772,605,0.2163
/vs/fan-vs-club,zh,1199,977,0.1852
/vs/fans-vs-fan,en,874,725,0.1705
/vs/fans-vs-fan,zh,1352,1154,0.1464
/vs/farm-vs-cafe,en,696,527,0.2428
/vs/farm-vs-cafe,zh,1041,820,0.2123
/vs/fashion-vs-style,en,671,530,0.2101
/vs/fashion-vs-style,zh,1057,867,0.1798
/vs/fi-vs-se,en,815,659,0.1914
/vs/fi-vs-se,zh,1247,1043,0.1636
/vs/finance-vs-com,en,819,654,0.2015
/vs/finance-vs-com,zh,1282,1068,0.1669
/vs/fish-vs-fishing,en,767,618,0.1943
/vs/fish-vs-fishing,zh,1183,985,0.1674
/vs/fishing-vs-boats,en,759,606,0.2016
/vs/fishing-vs-boats,zh,1163,960,0.1745
/vs/fit-vs-fitness,en,688,529,0.2311
/vs/fit-vs-fitness,zh,1086,874,0.1952
/vs/fitness-vs-coach,en,678,508,0.2507
/vs/fitness-vs-coach,zh,1026,805,0.2154
/vs/flights-vs-travel,en,686,521,0.2405
/vs/flights-vs-travel,zh,1098,883,0.1958
/vs/florist-vs-garden,en,753,597,0.2072
/vs/florist-vs-garden,zh,1169,963,0.1762
/vs/flowers-vs-florist,en,772,625,0.1904
/vs/flowers-vs-florist,zh,1201,1008,0.1607
/vs/fm-vs-tv,en,620,484,0.2194
/vs/fm-vs-tv,zh,973,784,0.1942
/vs/food-vs-restaurant,en,743,578,0.2221
/vs/food-vs-restaurant,zh,1133,914,0.1933
/vs/football-vs-team,en,705,542,0.2312
/vs/football-vs-team,zh,1109,893,0.1948
/vs/forum-vs-community,en,721,601,0.1664
/vs/forum-vs-community,zh,1140,974,0.1456
/vs/foundation-vs-org,en,833,676,0.1885
/vs/foundation-vs-org,zh,1279,1069,0.1642
/vs/fr-vs-com,en,696,530,0.2385
/vs/fr-vs-com,zh,1087,870,0.1996
/vs/fun-vs-club,en,765,598,0.2183
/vs/fun-vs-club,zh,1110,887,0.2009
/vs/fun-vs-games,en,870,702,0.1931
/vs/fun-vs-games,zh,1341,1119,0.1655
/vs/fund-vs-finance,en,598,462,0.2274
/vs/fund-vs-finance,zh,932,752,0.1931
/vs/furniture-vs-boutique,en,790,632,0.2000
/vs/furniture-vs-boutique,zh,1264,1056,0.1646
/vs/futbol-vs-soccer,en,814,662,0.1867
/vs/futbol-vs-soccer,zh,1254,1051,0.1619
