group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,en,/tld/abogado,.abogado,534,461,2677,37,37,0,3,3,0.257,0.16,/tld/tienda,0.243,0.273,0.405,
tld,zh,/tld/abogado,.abogado,792,701,1098,34,34,0,3,3,0.328,0.201,/tld/tienda,0.316,0.367,0.471,
tld,en,/tld/academy,.academy,461,369,2062,37,37,0,3,3,0.199,0.131,/tld/school,0.293,0.314,0.432,
tld,zh,/tld/academy,.academy,757,642,982,37,37,0,3,3,0.253,0.185,/tld/school,0.339,0.386,0.459,
tld,en,/tld/accountants,.accountants,475,402,2235,37,37,0,3,3,0.219,0.125,/tld/diamonds,0.279,0.315,0.405,
tld,zh,/tld/accountants,.accountants,737,646,1075,35,35,0,3,3,0.292,0.181,/tld/diamonds,0.353,0.392,0.457,
tld,en,/tld/actor,.actor,502,432,2362,38,38,0,3,3,0.262,0.176,/tld/graphics,0.261,0.295,0.395,
tld,zh,/tld/actor,.actor,765,677,1066,34,34,0,3,3,0.326,0.215,/tld/graphics,0.323,0.371,0.471,
tld,en,/tld/ae,.ae,636,557,2980,37,37,0,3,3,0.135,0.091,/tld/cn,0.171,0.19,0.378,
tld,zh,/tld/ae,.ae,922,829,1149,37,37,0,3,3,0.167,0.12,/tld/ro,0.209,0.231,0.405,
tld,en,/tld/agency,.agency,440,356,1875,33,33,0,3,3,0.202,0.135,/tld/shop,0.305,0.324,0.485,
tld,zh,/tld/agency,.agency,730,626,886,35,35,0,3,3,0.237,0.17,/tld/studio,0.325,0.347,0.486,
tld,en,/tld/ai,.ai,425,342,1732,32,32,0,3,3,0.108,0.134,/tld/art,0.176,0.192,0.281,
tld,zh,/tld/ai,.ai,691,584,793,33,33,0,3,3,0.219,0.165,/tld/io,0.323,0.338,0.455,
tld,en,/tld/am,.am,808,738,3959,46,46,0,3,3,0.088,0.081,/tld/la,0.104,0.104,0.174,
tld,zh,/tld/am,.am,1233,1146,1784,48,48,0,3,3,0.164,0.113,/tld/la,0.165,0.167,0.313,
tld,en,/tld/amsterdam,.amsterdam,505,432,2392,36,36,0,3,3,0.406,0.227,/tld/paris,0.235,0.286,0.389,
tld,zh,/tld/amsterdam,.amsterdam,810,719,1086,34,34,0,3,3,0.435,0.287,/tld/paris,0.282,0.349,0.441,
tld,en,/tld/apartments,.apartments,489,415,2349,37,37,0,3,3,0.255,0.161,/tld/properties,0.274,0.318,0.432,
tld,zh,/tld/apartments,.apartments,737,643,1046,35,35,0,3,3,0.305,0.203,/tld/engineering,0.366,0.417,0.486,
tld,en,/tld/app,.app,434,348,1778,35,35,0,3,3,0.206,0.135,/tld/art,0.318,0.334,0.457,
tld,zh,/tld/app,.app,674,565,838,35,35,0,3,3,0.246,0.179,/tld/dev,0.341,0.358,0.486,
tld,en,/tld/ar,.ar,657,581,2971,39,39,0,3,3,0.111,0.084,/tld/cn,0.14,0.159,0.282,
tld,zh,/tld/ar,.ar,1004,916,1341,40,40,0,3,3,0.152,0.122,/tld/so,0.196,0.218,0.375,
tld,en,/tld/art,.art,418,331,1787,34,34,0,3,3,0.215,0.137,/tld/space,0.333,0.364,0.471,
tld,zh,/tld/art,.art,694,582,778,35,35,0,3,3,0.255,0.172,/tld/design,0.361,0.387,0.486,
tld,en,/tld/asia,.asia,531,469,2529,37,37,0,3,3,0.236,0.142,/tld/place,0.244,0.274,0.405,
tld,zh,/tld/asia,.asia,807,727,1049,34,34,0,3,3,0.302,0.184,/tld/place,0.32,0.365,0.471,
tld,en,/tld/associates,.associates,455,382,2211,36,36,0,3,3,0.194,0.122,/tld/engineer,0.296,0.313,0.417,
tld,zh,/tld/associates,.associates,703,612,1117,35,35,0,3,3,0.254,0.174,/tld/attorney,0.348,0.369,0.457,
tld,en,/tld/at,.at,715,642,3303,43,43,0,3,3,0.102,0.083,/tld/cn,0.133,0.142,0.256,
tld,zh,/tld/at,.at,1028,942,1408,40,40,0,3,3,0.159,0.119,/tld/hk,0.172,0.192,0.375,
tld,en,/tld/attorney,.attorney,482,407,2281,35,35,0,3,3,0.273,0.162,/tld/dentist,0.277,0.318,0.457,
tld,zh,/tld/attorney,.attorney,749,653,1050,34,34,0,3,3,0.365,0.229,/tld/dentist,0.348,0.408,0.5,
tld,en,/tld/au,.au,654,578,3051,35,35,0,3,3,0.144,0.089,/tld/nl,0.197,0.199,0.429,
tld,zh,/tld/au,.au,986,897,1389,35,35,0,3,3,0.203,0.149,/tld/ca,0.222,0.229,0.457,
tld,en,/tld/auction,.auction,469,392,2176,36,36,0,3,3,0.277,0.158,/tld/discount,0.29,0.331,0.444,
tld,zh,/tld/auction,.auction,724,625,969,34,34,0,3,3,0.363,0.229,/tld/discount,0.371,0.417,0.5,
tld,en,/tld/audio,.audio,507,435,2322,38,38,0,3,3,0.195,0.123,/tld/holdings,0.263,0.29,0.421,
tld,zh,/tld/audio,.audio,787,694,1028,34,34,0,3,3,0.246,0.172,/tld/fashion,0.317,0.36,0.5,
tld,en,/tld/autos,.autos,499,420,2295,37,37,0,3,3,0.287,0.213,/tld/homes,0.264,0.296,0.432,
tld,zh,/tld/autos,.autos,784,684,1005,35,35,0,3,3,0.394,0.307,/tld/homes,0.328,0.364,0.486,
tld,en,/tld/baby,.baby,496,417,2250,37,37,0,3,3,0.216,0.132,/tld/green,0.266,0.301,0.432,
tld,zh,/tld/baby,.baby,772,674,944,36,36,0,3,3,0.282,0.2,/tld/green,0.34,0.392,0.472,
tld,en,/tld/band,.band,457,385,1990,35,35,0,3,3,0.205,0.132,/tld/care,0.287,0.333,0.457,
tld,zh,/tld/band,.band,728,637,942,35,35,0,3,3,0.237,0.172,/tld/international,0.345,0.382,0.486,
tld,en,/tld/bar,.bar,500,412,2065,36,36,0,3,3,0.178,0.123,/tld/art,0.259,0.269,0.444,
tld,zh,/tld/bar,.bar,771,659,968,36,36,0,3,3,0.221,0.174,/tld/cool,0.309,0.331,0.472,
tld,en,/tld/bargains,.bargains,472,397,2245,37,37,0,3,3,0.195,0.123,/tld/camera,0.271,0.299,0.432,
tld,zh,/tld/bargains,.bargains,724,628,1039,37,37,0,3,3,0.262,0.178,/tld/clothing,0.357,0.405,0.459,
tld,en,/tld/basketball,.basketball,502,427,2354,37,37,0,3,3,0.37,0.223,/tld/cricket,0.265,0.306,0.432,
tld,zh,/tld/basketball,.basketball,772,677,1122,34,34,0,3,3,0.416,0.321,/tld/rugby,0.332,0.374,0.5,
tld,en,/tld/be,.be,744,671,3587,42,42,0,3,3,0.102,0.092,/tld/fr,0.12,0.138,0.238,
tld,zh,/tld/be,.be,1041,955,1347,38,38,0,3,3,0.161,0.125,/tld/it,0.185,0.205,0.395,
tld,en,/tld/beauty,.beauty,478,401,2148,37,37,0,3,3,0.2,0.128,/tld/energy,0.278,0.314,0.432,
tld,zh,/tld/beauty,.beauty,766,666,959,36,36,0,3,3,0.264,0.2,/tld/fashion,0.347,0.399,0.472,
tld,en,/tld/beer,.beer,496,422,2201,36,36,0,3,3,0.238,0.142,/tld/tattoo,0.277,0.331,0.444,
tld,zh,/tld/beer,.beer,769,674,987,36,36,0,3,3,0.301,0.203,/tld/tattoo,0.327,0.397,0.472,
tld,en,/tld/berlin,.berlin,544,468,2502,37,37,0,3,3,0.416,0.235,/tld/boston,0.219,0.268,0.378,
